"","gene_id","WTn_1_WTn_2_WTn_3_0","WTn_1_WTn_2_WTn_3_1","WTn_1_WTn_2_WTn_3_2","WT6h_1_WT6h_2_WT6h_3_0","WT6h_1_WT6h_2_WT6h_3_1","WT6h_1_WT6h_2_WT6h_3_2","KOn_1_KOn_2_KOn_3_0","KOn_1_KOn_2_KOn_3_1","KOn_1_KOn_2_KOn_3_2","KO6h_1_KO6h_2_KO6h_3_0","KO6h_1_KO6h_2_KO6h_3_1","KO6h_1_KO6h_2_KO6h_3_2","gene_short_name"
"19398","XLOC_019398",0.0568247,0.0321067,0.0972957,0.0495243,0,0,0.0461593,0.0223799,0.0838869,0,0.0513078,0.0513309,"Ceacam16"
"19399","XLOC_019399",0.0397946,0.148661,0.136369,0.112555,0.0606097,0.0970611,0.031,0.16146,0.118366,0.153432,0.0395992,0.0607178,"Ceacam19"
"19400","XLOC_019400",3.23401,3.00322,2.89395,15.466,15.5585,17.5104,2.75665,3.32507,3.23737,15.0791,14.8158,14.1908,"Pvr"
"19401","XLOC_019401",0,0,0.0407651,0,0,0.0348113,0.037392,0.0176155,0.0212112,0.0343193,0,0.0364718,"2210010C17Rik"
"19402","XLOC_019402",0,0,0,0,0,0,0,0,0,0,0,0,"Gm16442"
"19403","XLOC_019403",0,0,0,0,0,0,0,0,0,0,0,0,"Gm10666"
"19404","XLOC_019404",0,0,0,0,0,0,0,0,0,0,0,0,"Vmn1r94"
"19405","XLOC_019405",0,0,0,0,0,0,0,0,0,0,0,0,"Gm6164"
"19406","XLOC_019406",0,0,0,0,0,0,0,0,0,0,0,0,"Gm4498"
"19407","XLOC_019407",0,0,0,0,0,0,0,0,0,0,0,0,"Gm4133"
"19408","XLOC_019408",0,0,0,0,0,0,0,0,0,0,0,0,"Vmn1r-ps79"
"19409","XLOC_019409",0,0,0,0,0,0,0,0,0,0,0,0,"Gm5728"
"19410","XLOC_019410",0,0,0,0,0,0,0,0,0,0,0,0,"Vmn1r101"
"19411","XLOC_019411",0,0,0,0,0,0,0,0,0,0,0,0,"Gm10670"
"19412","XLOC_019412",0,0,0,0,0,0,0,0,0,0,0,0,"Vmn1r103"
"19413","XLOC_019413",0,0,0,0,0,0,0,0,0,0,0,0,"Gm5726"
"19414","XLOC_019414",0,0,0,0,0,0,0,0,0,0,0,0,"Gm4141"
"19415","XLOC_019415",0,0,0,0,0,0,0,0,0,0,0,0,"Vmn1r111"
"19416","XLOC_019416",0,0,0,0,0,0,0,0,0,0,0,0,"Gm4567"
"19417","XLOC_019417",0,0,0,0,0,0,0,0,0,0,0,0,"Vmn1r114"
"19418","XLOC_019418",0,0,0,0,0,0,0,0,0,0,0,0,"Vmn1r115"
"19419","XLOC_019419",0,0,0,0,0,0,0,0,0,0,0,0,"Vmn1r117"
"19420","XLOC_019420",0,0,0,0,0,0,0,0,0,0,0,0,"Vmn1r118"
"19421","XLOC_019421",0,0,0,0,0,0,0,0,0,0,0,0,"Vmn1r119"
"19422","XLOC_019422",0,0,0,0,0,0,0,0,0,0,0,0,"Vmn1r120"
"19423","XLOC_019423",0,0,0,0,0,0,0,0,0,0,0,0,"Vmn1r121"
"19424","XLOC_019424",0,0,0,0,0,0,0,0,0,0,0,0,"Vmn1r122"
"19425","XLOC_019425",0,0,0,0,0,0,0,0,0,0,0,0,"Vmn1r124"
"19426","XLOC_019426",0,0,0,0,0,0,0,0,0,0,0,0,"Vmn1r126"
"19427","XLOC_019427",0,0,0,0,0,0,0,0,0,0,0,0,"Vmn1r127"
"19428","XLOC_019428",0,0,0,0,0,0,0,0,0,0,0,0,"Vmn1r129"
"19429","XLOC_019429",0,0,0,0,0,0,0,0,0,0,0,0,"Gm4172"
"19430","XLOC_019430",0,0,0,0,0,0,0,0,0,0,0,0,"Gm4175"
"19431","XLOC_019431",0,0,0,0,0,0,0,0,0,0,0,0,"Gm4216"
"19432","XLOC_019432",0,0,0,0,0,0,0,0,0,0,0,0,"Gm5725"
"19433","XLOC_019433",0,0,0,0,0,0,0,0,0,0,0,0,"Gm5891"
"19434","XLOC_019434",0,0,0,0,0,0,0,0,0,0,0,0,"Gm4220"
"19435","XLOC_019435",0,0,0,0,0,0,0,0,0,0,0,0,"Gm16451"
"19436","XLOC_019436",0,0,0,0,0,0,0,0,0,0,0,0,"Gm10666"
"19437","XLOC_019437",0,0,0,0,0,0,0,0,0,0,0,0,"Vmn1r142"
"19438","XLOC_019438",0,0,0,0,0,0,0,0,0,0,0,0,"Gm6164"
"19439","XLOC_019439",0,0,0,0,0,0,0,0,0,0,0,0,"Vmn1r118"
"19440","XLOC_019440",0,0,0,0,0,0,0,0,0,0,0,0,"Gm4187"
"19441","XLOC_019441",0,0,0,0,0,0,0,0,0,0,0,0,"Vmn1r-ps79"
"19442","XLOC_019442",0,0,0,0,0,0,0,0,0,0,0,0,"Gm8660"
"19443","XLOC_019443",0,0,0,0,0,0,0,0,0,0,0,0,"Vmn1r149"
"19444","XLOC_019444",0,0,0,0,0,0,0,0,0,0,0,0,"Gm10670"
"19445","XLOC_019445",0,0,0,0,0,0,0,0,0,0,0,0,"Vmn1r151"
"19446","XLOC_019446",0,0,0,0,0,0,0,0,0,0,0,0,"Gm5726"
"19447","XLOC_019447",0,0,0,0,0,0,0,0,0,0,0,0,"Gm4141"
"19448","XLOC_019448",0,0,0,0,0,0,0,0,0,0,0,0,"Gm8693"
"19449","XLOC_019449",0,0,0,0,0,0,0,0,0,0,0,0,"Gm4567"
"19450","XLOC_019450",0,0,0,0,0,0,0,0,0,0,0,0,"Vmn1r158"
"19451","XLOC_019451",0,0,0,0,0,0,0,0,0,0,0,0,"Vmn1r159"
"19452","XLOC_019452",0,0,0,0,0,0,0,0,0,0,0,0,"Gm4175"
"19453","XLOC_019453",0,0,0,0,0,0,0,0,0,0,0,0,"Gm4177"
"19454","XLOC_019454",0,0,0,0,0,0,0,0,0,0,0,0,"Gm8720"
"19455","XLOC_019455",0,0,0,0,0,0,0,0,0,0,0,0,"Gm5891"
"19456","XLOC_019456",0,0,0,0,0,0,0,0,0,0,0,0,"Gm4220"
"19457","XLOC_019457",0,0,0,0,0,0,0,0,0,0,0,0,"Vmn1r167"
"19458","XLOC_019458",0,0,0,0,0,0,0,0,0,0,0,0,"Vmn1r175"
"19459","XLOC_019459",0,0,0,0,0,0,0,0,0,0,0,0,"Vmn1r176"
"19460","XLOC_019460",0,0,0,0,0,0,0,0,0,0,0,0,"Vmn1r177"
